"","A01.SEC.wasp","A11.HYB.ctrl","A03.SEC.ctrl","A05.SIM.wasp","A07.SIM.ctrl","A09.HYB.wasp","B01.SEC.wasp","B11.HYB.ctrl","B03.SEC.ctrl","B05.SIM.wasp","B07.SIM.ctrl","B09.HYB.wasp","D01.SEC.wasp","D11.HYB.ctrl","D03.SEC.ctrl","D05.SIM.wasp","D07.SIM.ctrl","D09.HYB.wasp"
"EMC6",41.17038,47.33806,45.41867,57.90726,62.18195,68.27963,47.21864,79.47236,84.57369,83.11769,51.90041,73.71565,49.80145,52.64461,47.41627,92.85009,66.43049,60.62139
"EMC7",40.23468,29.16563,41.34457,16.20025,14.19538,38.53253,48.28487,35.21385,73.85515,20.16568,13.86812,32.45797,54.04991,30.35611,46.73156,18.09386,14.97409,39.7782
"EMC8-9",77.50635,71.34362,78.31326,78.24374,70.05113,102.6506,78.59619,107.4505,117.4635,103.8094,51.48016,109.0588,94.52834,86.69268,84.21951,118.8799,79.49879,101.7206
"EMRE",56.45332,51.71291,51.60527,45.84325,35.48846,68.74203,51.33123,66.20687,93.53028,66.45908,41.8145,67.94535,80.83884,47.17504,58.71401,63.64596,34.71265,69.57516
"enc",62.8472,123.7296,81.6329,196.2987,69.12534,104.1919,73.11273,85.01975,19.96879,138.0034,99.80847,111.9439,55.8201,111.169,95.51725,125.0699,82.4936,105.537
"EndoB",97.3118,76.5037,95.21323,37.74313,64.18782,81.22656,78.13924,75.01033,84.28003,34.8954,51.27004,72.99436,97.47866,76.98419,85.0754,41.90158,50.50351,81.75815
"EndoG",32.28132,22.32293,30.6312,21.88757,19.5958,27.74342,38.68882,27.73694,42.28685,28.0566,16.17948,23.22548,30.56534,24.61306,23.9649,20.47464,19.19406,24.51277
"endos",19.80545,43.41192,23.38835,36.19204,51.38111,40.99861,15.23182,51.37364,19.23464,51.72936,31.09822,32.60223,17.70194,39.65438,21.56841,45.23466,35.3933,35.96184
"EndoU",37.58356,52.38596,41.64636,50.8412,30.39663,65.96768,46.60937,54.50912,53.73953,54.18432,31.09822,57.41454,58.18036,48.13221,39.54209,45.86953,26.27272,74.419
"enok",163.5899,139.6585,177.4497,117.0209,70.97691,105.2709,138.7619,76.69867,45.0766,79.43526,127.5447,99.82629,133.0005,108.571,162.619,75.23238,77.04848,103.482
"ens",357.5897,350.5485,313.4039,381.0505,64.34211,426.7863,327.3318,283.5198,140.5157,284.0731,104.6413,387.0432,400.8898,292.622,336.5357,265.5354,82.4936,366.2237
"Ent1",95.75231,81.77595,93.70431,44.29216,45.05491,57.49053,95.50351,82.72844,122.3088,56.28856,49.79917,55.53919,94.29231,87.1029,100.4814,44.7585,46.5558,72.36403
"Ent2",150.0224,153.1196,172.772,92.72056,102.2993,121.7628,129.4705,133.1373,145.5079,70.49222,85.30998,107.0392,136.5409,153.4214,175.4573,82.21598,106.1799,144.5813
"Ent3",2.183277,4.150494,0.4526778,7.410751,4.011738,4.469773,2.284773,3.738457,1.027805,8.592335,5.463201,4.616244,2.124232,3.418481,1.369423,7.142315,3.403201,2.788878
"Epac",36.33598,64.50092,26.5571,181.3049,2.777357,99.56805,42.03982,52.57959,15.56391,157.117,7.564432,93.91172,37.5281,52.50787,33.89322,132.3709,19.19406,81.17102
"Epg5",182.4596,198.1019,241.1264,206.467,176.8251,134.2473,236.3978,119.8718,74.5893,137.4774,331.154,128.6778,180.3237,187.196,286.2094,141.7353,200.3805,134.1597
"Eph",21.83277,32.30655,27.31156,25.33443,33.32829,24.66082,16.90732,25.92801,12.04,18.93821,39.29302,22.93696,14.51559,27.8948,28.41553,22.06182,31.30945,23.3385
"Ephrin",33.21701,40.27101,44.21153,29.81535,39.3459,38.53253,39.60273,48.11756,23.93318,36.47359,44.12585,43.99858,40.95048,56.06309,50.15512,37.93363,34.4404,46.38344
"Eps-15",200.8615,187.6696,174.4319,232.4908,127.7584,175.0918,168.007,122.1631,82.95857,178.6855,163.896,163.7324,191.653,164.9075,177.8538,172.0504,141.7093,171.7361
"eRF1",210.0625,217.8448,185.8997,234.5589,244.5618,243.0632,207.762,275.8017,164.302,291.438,198.9866,285.6301,233.3115,270.607,189.8363,294.1046,239.4493,252.0265
"Ero1L",56.14142,61.36,52.51063,82.89701,60.02178,66.5842,77.37764,51.37364,53.29905,80.13668,74.80382,63.3291,47.67721,51.96091,56.65988,66.34417,68.06403,61.64887
"ERp60",4658.958,4307.315,4032.454,2603.586,5077.627,2952.824,3665.69,3180.101,4535.411,2447.588,4444.314,2712.188,4221.086,3211.868,3617.16,2379.343,4213.572,3223.209
"Es2",32.59321,36.79357,24.59549,33.95158,31.16812,38.3784,27.11264,39.1935,27.89757,32.6158,21.8528,39.38234,35.75791,37.60329,29.10024,34.28311,24.36692,35.08114
"esc",69.24109,47.45024,78.61505,21.19819,99.05908,30.05537,60.16569,44.4997,35.09221,22.44528,121.241,35.19886,60.06857,47.58526,59.05637,26.3472,79.77104,33.46653
"Est-Q",0.9356903,0.5608775,1.659819,4.136233,0.9257858,0.7706505,8.834455,0,7.194637,2.981014,9.665663,0.7212882,3.540387,0.8204354,9.928317,1.269745,15.5186,0.8806982
"Esyt2",1885.572,1009.019,1211.517,1285.851,184.54,1573.977,1659.659,824.3901,656.0334,1126.122,273.16,1392.519,1788.84,774.7645,1151.514,891.6783,242.5802,1388.861
"et",419.8131,468.4449,400.7708,360.5417,538.653,320.4365,345.3054,417.9836,281.4718,328.9637,427.3904,328.3304,291.2558,426.6264,390.1144,357.2744,450.3116,352.5728
"Etf-QO",152.5175,145.3795,165.9819,103.4058,169.7274,108.97,323.8285,112.9979,316.564,110.2975,227.9836,122.042,184.6902,146.8579,254.8839,93.32624,237.6796,114.6375
"ETH",19.3376,17.3872,23.69014,8.961838,6.943394,18.958,27.26496,16.28038,34.35806,9.819811,8.404924,15.14705,25.96284,15.04132,21.39723,8.094623,6.534147,16.4397
"Etl1",49.90349,60.68695,58.09365,69.62659,64.80501,50.40054,44.93387,41.00243,35.38587,72.59646,78.79616,43.71006,46.37907,49.77308,48.27216,52.05954,66.15824,48.58518
"Ets21C",10.13665,0.5608775,2.112496,8.789495,0.7714882,6.319334,14.16559,0.602977,3.670733,6.48809,1.680985,6.058821,11.44725,1.093914,5.135336,12.53873,3.675458,2.054962
"Ets97D",19.80545,18.28461,26.85888,5.170291,5.091822,13.71758,16.29805,13.98907,19.08781,4.208491,5.463201,11.54061,19.00008,16.81893,24.99197,2.856926,4.764482,14.38474
"Ets98B",1.247587,0,1.508926,0.6893722,1.234381,0.7706505,6.549682,0,2.055611,0.1753538,4.832831,2.163865,3.540387,0.8204354,15.06365,0.6348724,2.041921,1.174264
"Evi5",9.980697,7.627935,9.355342,12.23636,22.99035,6.319334,9.139092,5.909174,3.964392,8.767689,34.03994,7.068624,9.086994,6.426744,10.27067,8.570777,14.97409,5.137406
"ewg",9.200955,7.403584,9.506234,10.34058,5.709012,7.398245,12.49009,6.150365,5.726344,10.52123,5.883447,6.491594,8.614942,6.700223,9.757139,9.046932,5.036738,7.192368
"exd",52.55461,85.14121,64.88382,79.10546,89.18403,75.52375,53.00673,83.8138,54.62051,62.77665,79.63666,73.28288,56.64619,88.60703,68.64233,71.26443,65.88598,77.20787
"Exd2",173.8825,153.1196,123.581,114.2634,118.5006,153.6677,170.1394,167.2658,164.0084,118.8899,95.39589,145.9887,179.3796,146.0375,144.9877,119.1973,107.1328,148.9848
"Exn",726.0957,429.9687,569.016,550.9807,109.0884,507.5504,677.9683,315.7187,335.3582,410.6785,176.9237,490.476,744.4254,372.4777,609.222,383.1455,129.4578,459.1373
"Exo84",152.9854,116.2138,136.8596,97.37382,61.41046,120.838,159.9341,97.80286,130.0908,90.6579,83.83912,112.3767,182.4479,99.54617,124.9598,88.40598,63.70793,108.6194
"exp",3.274916,0,0.3017852,0,8.794965,0.1541301,0.1523182,0.1205954,0.7341466,0,48.53844,1.442576,2.124232,0,0.1711779,0.4761543,0.1361281,0.146783
"exu",5.146297,24.34209,8.600879,18.44071,31.01382,14.17997,6.549682,17.72752,7.928784,22.97134,26.68563,14.42576,7.3168,20.9211,5.991226,16.34796,23.68628,15.99935
"f-cup",9.824749,4.711371,6.790167,4.308576,3.548846,2.466082,10.50996,5.185602,8.66293,4.909906,4.622708,2.45238,7.552826,4.649134,5.991226,1.904617,5.308994,4.84384
"fab1",755.7259,377.8071,564.0366,311.4239,95.81883,466.5518,857.8561,256.1446,218.0415,247.9502,181.1261,420.9438,837.4196,318.7392,671.8731,224.2687,118.9759,400.4241
"faf",352.5993,307.3609,345.5441,361.5757,222.6515,232.1199,381.1001,171.8484,76.20442,240.41,418.3551,223.1666,322.5293,270.8804,378.9878,254.9013,263.9523,229.8622
"Faf2",152.5175,127.6557,143.348,109.4378,97.20751,137.9464,160.848,131.0872,149.9127,123.4491,94.76552,125.3599,161.9137,130.9962,152.6907,110.1504,93.24772,128.8755
