"","A10.HYB.wasp","A12.HYB.ctrl","A02.SEC.wasp","A04.SEC.ctrl","A06.SIM.wasp","A08.SIM.ctrl","B10.HYB.wasp","B12.HYB.ctrl","B02.SEC.wasp","B04.SEC.ctrl","B06.SIM.wasp","B08.SIM.ctrl","C01.SEC.wasp","C10.HYB.wasp","C11.HYB.ctrl","C12.HYB.ctrl","C02.SEC.wasp","C03.SEC.ctrl","C04.SEC.ctrl","C05.SIM.wasp","C06.SIM.wasp","C07.SIM.ctrl","C08.SIM.ctrl","C09.HYB.wasp","D10.HYB.wasp","D12.HYB.ctrl","D02.SEC.wasp","D04.SEC.ctrl","D06.SIM.wasp","D08.SIM.ctrl"
"Atg5",5.77369035035437,7.10665865334544,5.65979248232559,4.17223664760052,5.95644603150727,8.60531519222575,7.70015281699488,8.26998778690507,5.45043944489262,9.78949463241509,5.78283056911299,5.23158082114895,4.59679542435249,4.89644911532461,6.94868995724533,7.31503208571059,5.65910763171472,5.9942681504025,5.1303335570561,6.07580342431962,7.21257595447913,8.92185247635555,8.90178769741621,6.63167974710223,5.55130361001607,8.41722105835047,9.04345438941841,5.22387066800608,6.27398727187784,5.56557222627502
"Atg6",15.5248118309529,16.9689604579881,21.3686042700048,15.6005370301585,24.0009737151911,23.4991299480011,17.6154180881938,15.1185714229358,13.1105165025795,11.9410319142646,16.9629696693981,23.3786267945094,14.0146201961966,14.6893473459738,17.6198923915864,18.2875802142765,17.2650741306551,11.223310579477,13.8363541387271,17.292671284602,18.9086450698507,18.6547824505616,21.743710933033,17.4294147199482,17.2707223422722,18.9744135722138,18.0869087788368,14.8977052383877,20.0767592700091,22.4309426089266
"Atg8a",58.5067288835909,46.1207643217112,126.59454205365,60.7695337802684,52.2064975702696,67.0773286778623,58.647739263687,68.615054919478,64.0794907710348,57.1233148331034,38.3594427751162,46.5937666883578,103.820306413425,48.0381359152117,96.661240655252,90.5235220606686,133.132904963051,59.177455782697,188.578624385123,34.585342569204,44.54252988104,45.8838127355428,49.6165215921559,43.0208968209452,61.5269483443448,99.1520107720945,109.043190426257,102.929599828861,39.874674661268,48.2349592943835
"atilla",0.513216920031499,0.725169250341371,0.462023876108211,0.362803186747871,0.525568767485935,0.992920983718356,2.00414936332743,2.58437118340783,6.03967614163776,1.29092236910968,1.92761018970433,0,1.00905265412616,1.19102816318707,0.496334996946095,2.35126031326412,6.23461010273655,0.892763341549309,0.466393959732373,0.155789831392811,0.682270698396674,0,0.145930945859282,1.27532302828889,0.462608634168006,0.285329527401711,2.4347761817665,0.193476691407633,5.15861175687733,2.69845926122425
"atms",42.9819170526381,39.5942410686389,38.0014638099004,50.2482413645802,40.643984685579,44.681444267326,37.234985539715,46.6478998605114,42.1304238172781,44.9671291906539,40.8653360217318,43.8144893771224,41.1469248960333,39.4362658477496,45.7869034682773,39.7101741795718,38.7504997154703,48.4642956841053,42.59731498889,43.1537832958086,42.49571778585,41.3649523903757,38.2339078151319,50.7578565258978,34.6956475626005,39.9461338362395,41.5651076744423,35.4062345275968,44.33617672127,42.500733364282
"Atox1",70.8239349643469,43.5101550204823,47.3574473010917,54.2390764188068,28.7310926225645,33.6489888926776,81.4317530783568,59.4405372183802,41.099259597974,47.5489739288733,28.914152845565,35.1496836420945,60.9916270938477,45.6560795888376,58.8156971381122,48.85396428671,59.3726715937527,59.0499181624757,78.0432559285503,24.7705831914569,25.341483083305,32.4430999140202,30.49956768459,65.2965390483912,53.0457900512647,62.6298312646755,54.2607263365105,57.2691006566592,24.6776832693862,32.718818542344
"ATP6AP2",95.9715640458903,119.797960156395,56.4824188542288,49.8854381778323,136.998258724667,173.319873935726,94.405983167266,114.746080543308,42.7196605140232,50.5611261234625,136.089279393126,131.606955032028,47.8739425902077,73.9760825801745,112.295793059054,84.5147457045492,50.6442174499215,47.3164571021134,75.7112861298885,119.335010846893,127.682087842806,116.795159690473,113.242413986803,98.1998731782445,90.3628865408172,103.574618446821,47.8259607132705,53.5930435199142,92.5761677450419,154.655446408915
"Atpalpha",77.2391464647406,124.294009508511,85.1278991729379,44.8061935633621,87.2444154026653,104.036054182934,72.8877478978556,56.5977289166315,53.4732302296222,55.5096618717163,81.1523889865523,78.800686118556,62.4491475942522,55.1843048943341,75.1947520373334,73.0196952841468,75.5826578608677,43.4903284954735,65.2951543625322,71.1959529465145,104.484884097319,72.4176337366522,62.7503067194913,66.9969697527764,77.101439028001,105.286595611231,34.6086042979666,72.1668058950469,64.8312018094043,110.974137117847
"ATPCL",1653.7132205715,2353.02918350768,3744.70351585705,4048.88356410624,1471.06698019313,1396.15722766176,1401.11136805675,2237.16091491699,6247.52938641461,8686.40146801086,2536.54224863193,2644.23713128947,4218.17644513205,3070.33826823368,1937.81591182679,1623.28399516296,9034.71737549329,4553.47565476214,3389.75129933488,2334.82220308406,2278.88159988752,2694.51531607335,2636.53439883965,2291.67046029992,2439.18112508984,1825.39565155244,5471.28990559814,2818.95539380921,2347.86545907606,1866.32188654422
"ATPsynbeta",1021.5582793227,1054.39608999635,814.663599547804,959.795830541493,1225.97674495553,1197.02140814935,810.203750511475,1178.60247819314,1025.56647068493,1070.17464399193,1430.28676076061,1275.36131205572,1162.98924236118,1163.63451543376,747.852756648528,888.123270549041,1260.92591400884,1411.20376774901,1034.92819664613,1321.876719368,1247.09336942649,1296.681182635,1291.05107801707,1033.60680366054,728.762801692666,676.373644705755,1135.47526362525,1166.66444918802,1155.52903354052,1253.60298054249
