"logFC","logCPM","F","PValue","FDR","dmel_gene","species","tissue"
1.24793679813238,7.97207895608673,90.3389849081726,1.41376087753678e-07,3.88589136671921e-06,"Ist1","*D. simulans*","Haemocytes"
1.71399035571214,8.06747144210309,90.3325486936975,1.41439079129875e-07,3.88589136671921e-06,"scat","*D. simulans*","Haemocytes"
1.96696941760591,4.82451521912387,89.7917158512485,1.46848310478371e-07,4.01360019571714e-06,"yuri","*D. simulans*","Haemocytes"
-2.47468769109316,9.35535847823343,89.5060148836291,1.4980073264785e-07,4.07319002431655e-06,"Plod","*D. simulans*","Haemocytes"
1.38308685591663,6.03520513848283,89.0666393566012,1.54474203119619e-07,4.17872523823586e-06,"Rbsn-5","*D. simulans*","Haemocytes"
4.1847731995458,11.6956806885223,88.5047435801893,1.6069492989248e-07,4.31467718683258e-06,"CG15347","*D. simulans*","Haemocytes"
2.35639178920566,9.55098915104839,88.412610813322,1.61741934704708e-07,4.31467718683258e-06,"FBgn0268178","*D. simulans*","Haemocytes"
1.20051851340436,7.44867202980749,88.3940535999668,1.61953759809071e-07,4.31467718683258e-06,"Hydr2","*D. simulans*","Haemocytes"
8.91767424926783,3.17194475728879,87.9026413896299,1.67679785389488e-07,4.42802670121961e-06,"CG14689","*D. simulans*","Haemocytes"
1.26546200621717,5.37030098249997,87.8851955072008,1.67887268292687e-07,4.42802670121961e-06,"Arl5","*D. simulans*","Haemocytes"
0.985609459953594,6.89899644848784,87.6628335360771,1.7055759863981e-07,4.47607628271143e-06,"Rab10","*D. simulans*","Haemocytes"
3.12618907915747,9.20097513193476,87.3076182143496,1.74924399197271e-07,4.56795151369111e-06,"LIMK1","*D. simulans*","Haemocytes"
4.18974488431717,6.64491475714415,87.0672456393809,1.77951672796594e-07,4.62411366503464e-06,"AdamTS-A","*D. simulans*","Haemocytes"
