"logFC","logCPM","F","PValue","FDR","dmel_gene","treatment","tissue"
2.89561485689739,5.6487543221627,175.310889463015,2.30205017421506e-13,8.84776909634511e-12,"CG4872","Control","Fat Body"
-1.26738509863067,4.68332800832411,175.214889324907,2.31700309110023e-13,8.84776909634511e-12,"Vps35","Control","Fat Body"
-1.49247758099561,5.55674255578447,175.115603886585,2.33257748364099e-13,8.84776909634511e-12,"CG6984","Control","Fat Body"
3.22326274092018,2.6459982473179,173.208809194828,2.65456515349932e-13,9.99282897555919e-12,"FBgn0185440","Control","Fat Body"
2.62620551335124,9.05861132652856,171.119502390787,3.06299698817835e-13,1.14436331084648e-11,"P5CS","Control","Fat Body"
-1.19189566574768,4.27547713479216,168.880288464163,3.57680342584377e-13,1.32635344947893e-11,"Mtch","Control","Fat Body"
3.03929635703565,3.71294530793063,168.593320396911,3.64906898604434e-13,1.34312768827069e-11,"Vamp7","Control","Fat Body"
8.24068620249218,3.97178334179708,215.408094070263,3.7048714913563e-13,1.35364017945217e-11,"Cyp6t1","Control","Fat Body"
-0.950434279809462,6.66722933893899,168.16468616945,3.75994454474272e-13,1.36373463086325e-11,"CG8613","Control","Fat Body"
2.34110769561296,4.55298461068365,167.487606566672,3.94252185888818e-13,1.41959355918952e-11,"CG10903","Control","Fat Body"
1.97139051297698,6.97683706092255,166.955095642885,4.09280051426871e-13,1.46310257233102e-11,"Ak2","Control","Fat Body"
3.79253280126271,4.16197782928112,165.756353194961,4.45407930773989e-13,1.58088000572568e-11,"CG43064","Control","Fat Body"
1.0293765649346,8.85385661577102,165.294569285522,4.60226241103597e-13,1.61501369340812e-11,"eIF3h","Control","Fat Body"
6.61545156083289,6.46175332768192,173.39704779269,4.61525346073562e-13,1.61501369340812e-11,"Cyp9b1.Cyp9b2.Dsim_GD10273","Control","Fat Body"
-1.90136289827467,5.56458713457219,165.096122594124,4.66756091908619e-13,1.61565017086547e-11,"nst","Control","Fat Body"
-2.35311224757249,6.19873815459389,165.052338492148,4.682101521526e-13,1.61565017086547e-11,"CG17549","Control","Fat Body"
-3.94251349647412,6.22066201286508,165.152056960713,5.21008769801398e-13,1.78544315665044e-11,"CG30091","Control","Fat Body"
-1.00692132546804,6.75050571490422,163.041740094029,5.4051527384518e-13,1.83960301077856e-11,"CG12375","Control","Fat Body"
1.99190020713241,8.9950815516219,162.589476901999,5.58377888405276e-13,1.88746920237131e-11,"ATPsynO","Control","Fat Body"
1.27763758715746,5.10740187996661,161.672135968953,5.96586078450095e-13,2.00299744852603e-11,"CG3909","Control","Fat Body"
-1.78149808774741,4.56928548901452,161.564708980121,6.01240922105074e-13,2.00507794761081e-11,"dind","Control","Fat Body"
2.75517676652608,4.35934055374792,161.234909342159,6.1577651431648e-13,2.03986233309239e-11,"CG9149","Control","Fat Body"
1.03119683719653,7.09566063159656,161.030582195869,6.24971000354557e-13,2.05660986805417e-11,"CG17593","Control","Fat Body"
1.13383096122019,7.52114982660297,160.231849657998,6.62352742029996e-13,2.16528340470201e-11,"lost","Control","Fat Body"
-1.77538800663842,5.26687766804026,159.266072599088,7.10788184931795e-13,2.30843561498437e-11,"Art7","Control","Fat Body"
1.31716067977846,6.35301727800566,158.779809354893,7.36602670034904e-13,2.36766673174513e-11,"CG1307","Control","Fat Body"
1.58147982988682,10.4799895108159,158.743767093871,7.38555732381756e-13,2.36766673174513e-11,"RpL10Ab","Control","Fat Body"
2.07997338091534,9.5231467337217,157.858878725418,7.88292946514746e-13,2.51091516104601e-11,"Ldsdh1","Control","Fat Body"
-3.20242612713535,9.47112353431573,156.468291583132,8.73864329947212e-13,2.76575277420872e-11,"CG4306.CG32196.Dsim_GD12343","Control","Fat Body"
-1.10129025660113,5.48375929524776,155.829210922911,9.16489604431236e-13,2.85222831601027e-11,"CG6015","Control","Fat Body"
3.04003408591358,11.6468876154986,155.802831911886,9.1829633096248e-13,2.85222831601027e-11,"CG34291","Control","Fat Body"
