logFC,logCPM,F,PValue,FDR,dmel_gene,species,tissue
-0.626511837,7.240875602,13.36304241,0.001085381,0.042803655,CG9577,*D. simulans*,Fat Body
-0.469055698,5.964843213,13.28899742,0.001114418,0.043299428,Atg4a,*D. simulans*,Fat Body
0.518285482,5.779337394,13.27752759,0.00111899,0.043299428,Sin3A,*D. simulans*,Fat Body
0.397636755,4.651073459,13.2647825,0.001124095,0.043299428,Adck1,*D. simulans*,Fat Body
-0.484186874,9.472020987,13.15559996,0.001168869,0.044677775,Gdi,*D. simulans*,Fat Body
2.254262736,0.964467051,13.11747519,0.001184955,0.044946868,FBgn0268178,*D. simulans*,Fat Body
-0.41946443,4.070028546,13.07971409,0.001201123,0.045214996,CG32536,*D. simulans*,Fat Body
2.071684329,12.27530299,13.22476156,0.001228426,0.045270137,FBgn0196907,*D. simulans*,Fat Body
-0.340763594,6.168418977,13.01455735,0.001229585,0.045270137,CG10674,*D. simulans*,Fat Body
10.41807811,2.773648474,13.92321826,0.0012339,0.045270137,FBgn0192725,*D. simulans*,Fat Body
0.653147332,4.870845696,12.94829252,0.001259279,0.045270137,OXA1L,*D. simulans*,Fat Body
-0.367336315,5.224312867,12.93839599,0.00126378,0.045270137,Sras,*D. simulans*,Fat Body
7.950597164,0.334001252,15.58384289,0.001265696,0.045270137,FBgn0269600,*D. simulans*,Fat Body
-0.600918197,8.074690548,12.91813144,0.001273051,0.045270137,shv,*D. simulans*,Fat Body
-0.349991522,5.491718631,12.90999716,0.001276793,0.045270137,CG4968,*D. simulans*,Fat Body
-0.48484297,7.379543104,12.89314813,0.001284582,0.045270137,Rab7,*D. simulans*,Fat Body
-0.780597057,4.948741579,12.82852292,0.001314937,0.045375163,ppk30,*D. simulans*,Fat Body
0.497567935,4.846245042,12.8151171,0.00132133,0.045375163,PNPase,*D. simulans*,Fat Body
0.645844522,4.716023809,14.09603487,0.001326166,0.045375163,Spn43Ad,*D. simulans*,Fat Body
-0.454102611,9.511967752,12.79646905,0.00133028,0.045375163,Pgk,*D. simulans*,Fat Body
-1.551645381,3.203219193,12.79200977,0.001333221,0.045375163,CG34241,*D. simulans*,Fat Body
0.566393021,3.297924437,12.76427701,0.001345883,0.045494524,CG1814,*D. simulans*,Fat Body
-0.787547478,4.206651273,12.7291297,0.001363146,0.045766708,RhoBTB,*D. simulans*,Fat Body
-0.465810804,3.913019227,12.70769872,0.001373789,0.045814489,GXIVsPLA2,*D. simulans*,Fat Body
-0.526013407,3.883248008,12.6460513,0.001404909,0.046539958,CG34015,*D. simulans*,Fat Body
-0.302526556,5.024914477,12.61076006,0.001423067,0.046697065,hook,*D. simulans*,Fat Body
2.232468805,3.773000379,12.76269208,0.001428447,0.046697065,CG10254,*D. simulans*,Fat Body
-0.477883715,7.070789211,12.49221631,0.00148594,0.048259073,loj,*D. simulans*,Fat Body
1.206911846,2.225191085,12.2268957,0.001637823,0.052654035,dl,*D. simulans*,Fat Body
-0.350770543,8.493074199,12.21922169,0.001642458,0.052654035,Scsalpha1,*D. simulans*,Fat Body
1.207156794,2.340461434,12.1968575,0.001656049,0.052692255,nahoda,*D. simulans*,Fat Body
-0.423732561,9.549460204,12.18246622,0.001664859,0.052692255,CG2852,*D. simulans*,Fat Body
-0.49161773,6.104701793,12.13265359,0.001695746,0.052936714,bigmax,*D. simulans*,Fat Body
-0.384380994,4.667573798,12.11776488,0.001705098,0.052936714,AP-2sigma,*D. simulans*,Fat Body
-0.416992575,3.830101947,12.09581674,0.001718986,0.052936714,CG5068,*D. simulans*,Fat Body
-0.377936036,6.074241347,12.09237208,0.001721177,0.052936714,Gmd,*D. simulans*,Fat Body
-0.379917023,4.816446852,12.08504074,0.00172585,0.052936714,KLHL18,*D. simulans*,Fat Body
10.89301182,5.748100935,12.28488367,0.00174471,0.053186884,FBgn0187958,*D. simulans*,Fat Body
-0.352565815,7.166101148,11.993685,0.001785242,0.053959297,Txl,*D. simulans*,Fat Body
0.586774817,6.243397972,11.98385079,0.001791766,0.053959297,Fur2,*D. simulans*,Fat Body
1.336982332,3.527885295,12.00076672,0.001819548,0.054297246,CG11841.CG11842.Dsim_GD21408,*D. simulans*,Fat Body
-1.315399831,5.866564285,12.02460248,0.001825787,0.054297246,CG3597,*D. simulans*,Fat Body
-0.336779651,8.405304684,11.91851651,0.001835769,0.054297246,Rpn6,*D. simulans*,Fat Body
0.989463973,8.269301049,11.91216182,0.001851282,0.054432069,Cp1,*D. simulans*,Fat Body
-0.362714314,5.193770874,11.82145129,0.001903318,0.055632855,CG10435,*D. simulans*,Fat Body
4.075772542,6.2973685,12.00617664,0.001928517,0.05579051,DptB,*D. simulans*,Fat Body
0.614059307,4.924966351,11.7825132,0.001931167,0.05579051,CG8414,*D. simulans*,Fat Body
0.423972014,7.498161603,11.68845826,0.002000273,0.057452916,Spn28Dc,*D. simulans*,Fat Body
0.618805131,6.843871673,11.63506506,0.00204069,0.058276948,Nup358,*D. simulans*,Fat Body
0.446908515,5.150133515,11.60125936,0.002066737,0.058683515,Chro,*D. simulans*,Fat Body
-0.433214088,8.620554429,11.4831885,0.00216057,0.060391603,CG6180,*D. simulans*,Fat Body
0.409865502,7.491086665,11.46839234,0.00217265,0.060391603,CG4995,*D. simulans*,Fat Body
-0.461005917,5.273526041,11.46731273,0.002173535,0.060391603,CG13663,*D. simulans*,Fat Body
0.612191289,10.12190564,11.45359125,0.002184808,0.060391603,Cyt-b5-r,*D. simulans*,Fat Body
0.891352262,4.136708136,11.44594262,0.002191119,0.060391603,CG10383,*D. simulans*,Fat Body
0.612909078,7.15624966,11.4354438,0.002199815,0.060391603,dom,*D. simulans*,Fat Body
0.493452183,5.329997141,11.39784506,0.002231263,0.060918388,IntS1,*D. simulans*,Fat Body
-0.391631784,8.309664719,11.33793566,0.002282383,0.061973553,Rpt6,*D. simulans*,Fat Body
-0.521747249,6.017202472,11.20534071,0.002400091,0.06346677,spartin,*D. simulans*,Fat Body
0.48763688,8.406035924,11.20195537,0.002403181,0.06346677,Indy,*D. simulans*,Fat Body
-0.311047103,6.718996679,11.19678896,0.002407906,0.06346677,Sk2,*D. simulans*,Fat Body
10.74539901,3.705063663,11.88354298,0.002416428,0.06346677,FBgn0190644,*D. simulans*,Fat Body
0.892389977,4.889066232,11.19864414,0.002419187,0.06346677,CG12499,*D. simulans*,Fat Body
