"dmel_gene","tissue","treatment","logFC.hyb_sim","logCPM.hyb_sim","F.hyb_sim","PValue.hyb_sim","FDR.hyb_sim","logFC.hyb_sec","logCPM.hyb_sec","F.hyb_sec","PValue.hyb_sec","FDR.hyb_sec"
"CG9410","Haemocytes","Response",-0.528986579158443,4.89719926083808,3.47063420485496,0.0830580079167359,0.298048293714818,0.353364079309816,4.89719926083808,1.54456316293034,0.233859011770231,0.868568266367316
"CG9410","Haemocytes","Wasp",-0.470705038324306,4.89719926083808,5.49425622582534,0.0339505499030709,0.168792790517153,0.441960883753824,4.89719926083808,4.80844171372431,0.0452628282781934,0.112676460201732
"CG9426","Haemocytes","Control",0.268752172154871,2.01825333940542,0.833639243043926,0.37630316605434,0.523470253411562,-0.276230760135883,2.01825333940542,0.899651740963595,0.358571573283305,0.553476194703488
"CG9426","Haemocytes","Response",-0.0125524213954962,2.01825333940542,0.000854079201177791,0.977087883523307,0.993577291903301,-0.624134681340493,2.01825333940542,2.28947078638005,0.151957622337402,0.868568266367316
"CG9426","Haemocytes","Wasp",0.256199750759375,2.01825333940542,0.733292895303197,0.405886754367253,0.70225587852004,-0.900365441476376,2.01825333940542,9.41094575822135,0.00815080887675682,0.0343689183252536
"CG9436","Haemocytes","Control",0.0623941547119923,5.86667894680922,0.123211126939871,0.730676082106641,0.818326185374211,-0.0483183149780069,5.86667894680922,0.0740122643425364,0.789456139871558,0.883594555022803
"CG9436","Haemocytes","Response",0.0144868551017879,5.86667894680922,0.00331630458774104,0.95487130482062,0.987799041935459,-0.0433219408880991,5.86667894680922,0.0297314341435237,0.865508596361887,0.968304951391083
"CG9436","Haemocytes","Wasp",0.0768810098137802,5.86667894680922,0.18644843618029,0.672304568131728,0.869856903825084,-0.091640255866106,5.86667894680922,0.265872033275616,0.613964226497468,0.716933036228176
"CG9444","Haemocytes","Control",1.04641432750056,4.25560749142477,1.29095636470673,0.275389507504162,0.420092438428124,-2.36204210352377,4.25560749142477,6.52008800180852,0.0232911487160782,0.0893533159834998
"CG9444","Haemocytes","Response",0.537630393555653,4.25560749142477,0.169947506399238,0.686547240733181,0.88330163289452,1.84276855387795,4.25560749142477,2.11804474623692,0.168139673945085,0.868568266367316
"CG9444","Haemocytes","Wasp",1.58404472105621,4.25560749142477,2.80827399610673,0.116479003241917,0.361251556551707,-0.519273549645827,4.25560749142477,0.336763263677819,0.571141538545755,0.681059048802506
"CG9449","Haemocytes","Control",-0.981691714342097,6.4760613148664,2.92630030346394,0.109398086576606,0.212807994880322,-1.17666870773444,6.4760613148664,4.18357618666427,0.0602618496899229,0.17008670251027
"CG9449","Haemocytes","Response",2.66289060145605,6.4760613148664,10.5214222824172,0.00594500213742683,0.0465605148580764,0.340176165298192,6.4760613148664,0.179773077294345,0.678067233038049,0.916691888536583
"CG9449","Haemocytes","Wasp",1.68119888711395,6.4760613148664,8.17405596731889,0.0127140350710639,0.0900453534811381,-0.836492542436248,6.4760613148664,2.15105436239023,0.164765325163379,0.282033821183638
"CG9452","Haemocytes","Control",3.27052861644046,8.70743161170216,29.9620787760013,8.1675528298047e-05,0.000789656496056665,1.11422876815628,8.70743161170216,4.07828050120158,0.0629856980070937,0.174776200414213
"CG9452","Haemocytes","Response",-3.24594208400336,8.70743161170216,16.7918067545724,0.00108452721617231,0.0131817536067026,1.37891342472106,8.70743161170216,3.17064431264865,0.0966515464538931,0.868568266367316
"CG9452","Haemocytes","Wasp",0.0245865324371008,8.70743161170216,0.00204324592482967,0.96458382617342,0.986463684192476,2.49314219287734,8.70743161170216,18.7841623344187,0.000685142302200182,0.00588619811743642
"CG9467","Haemocytes","Control",0.368190361128635,6.33012510446958,1.45844295082636,0.246700550066873,0.390395673884896,-0.147962966180109,6.33012510446958,0.237131371903741,0.633637663836396,0.784129332519882
"CG9467","Haemocytes","Response",-0.140888776322653,6.33012510446958,0.106922408521822,0.748395106672948,0.91020421637847,-0.221033315723529,6.33012510446958,0.264514376405738,0.614862328900951,0.90225246258307
"CG9467","Haemocytes","Wasp",0.227301584805982,6.33012510446958,0.555589151946359,0.46807341602376,0.74866199803679,-0.368996281903637,6.33012510446958,1.47020725082508,0.244892426125654,0.371743179226711
"CG9471","Haemocytes","Control",-0.423982121732194,5.21273278955985,2.72357826561808,0.120579047473174,0.229035210158819,-0.281063921880437,5.21273278955985,1.19812527579271,0.291724415117111,0.483761801239471
"CG9471","Haemocytes","Response",0.704148978230768,5.21273278955985,3.71221069427735,0.0740493981217352,0.27596952451305,0.0988348451136969,5.21273278955985,0.0736234523989006,0.789995537991326,0.945235812748216
"CG9471","Haemocytes","Wasp",0.280166856498575,5.21273278955985,1.16163841323082,0.298906062563939,0.600887759155784,-0.18222907676674,5.21273278955985,0.497399630418315,0.491931883625369,0.611725762876902
"CG9485","Haemocytes","Control",-1.28621925479387,6.4172103755576,6.01622604517744,0.0278768339318981,0.0761648672898346,-0.277180336008622,6.4172103755576,0.286048745830234,0.60114674730531,0.758987336533153
"CG9485","Haemocytes","Response",0.348942682873192,6.4172103755576,0.227983609768206,0.640383634858712,0.857997288745669,0.690468981659115,6.4172103755576,0.88536740718332,0.362672130122565,0.869210122827584
"CG9485","Haemocytes","Wasp",-0.937276571920674,6.4172103755576,3.23621062209026,0.0935902708529191,0.321202783831586,0.413288645650493,6.4172103755576,0.632772939901312,0.439605184476942,0.562707437057964
"CG9512","Haemocytes","Control",-5.08203688724592,6.25856444551231,15.8098377147283,0.00146028947980427,0.00742818419090406,-6.28250750335526,6.25856444551231,22.05654795945,0.000372896121199861,0.00608986699482745
"CG9512","Haemocytes","Response",5.14081775483971,6.25856444551231,9.65485517671264,0.00796867686617505,0.057978993750446,2.25810649479824,6.25856444551231,2.05085036011994,0.174750060013635,0.868568266367316
"CG9512","Haemocytes","Wasp",0.0587808675937987,6.25856444551231,0.00276582395574061,0.95882400160348,0.984198600595127,-4.02440100855702,6.25856444551231,11.5095383491098,0.00455271555234352,0.0234298288181581
"CG9515","Haemocytes","Control",-0.211998045844998,2.68286148228342,0.330020620298818,0.574540323603736,0.701226332024458,-0.100614584038142,2.68286148228342,0.0743531717335694,0.788984455822571,0.883441520794749
